kode_prov,kode_bps,nama_bps,nama_dagri,kode_dagri
82,8271,TERNATE,KOTA TERNATE,82.71
82,8272,TIDORE KEPULAUAN,KOTA TIDORE KEPULAUAN,82.72
91,9101,FAKFAK,KAB. FAK FAK,92.03
91,9102,KAIMANA,KAB. KAIMANA,92.08
91,9103,TELUK WONDAMA,KAB. TELUK WONDAMA,92.07
91,9104,TELUK BINTUNI,KAB. TELUK BINTUNI,92.06
91,9105,MANOKWARI,KAB. MANOKWARI,92.02
91,9106,SORONG SELATAN,KAB. SORONG SELATAN,92.04
91,9107,SORONG,KAB. SORONG,92.01
91,9108,RAJA AMPAT,KAB. RAJA AMPAT,92.05
91,9109,TAMBRAUW,KAB. TAMBRAUW,92.09
91,9110,MAYBRAT,KAB. MAYBRAT,92.10
91,9111,MANOKWARI SELATAN,KAB. MANOKWARI SELATAN,92.11
91,9112,PEGUNUNGAN ARFAK,KAB. PEGUNUNGAN ARFAK,92.12
91,9171,SORONG,KOTA SORONG,92.71
